@relation homes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute postal-code {84003,84004,84005,84013,84020,84042,84043,84045,84049,84057,84058,84062,84074,84078,84097,84601,84604,84606,84629,84633,84651,84653,84655,84660,84663,84664}
@attribute bedrooms {1,2,3,4,5,6,7,8}
@attribute bathrooms {1,2,3,4,5,6,8}
@attribute square-feet numeric
@attribute lot-size numeric
@attribute cars {0,1,2,3,4,5,6,7,8,10,12}
@attribute type {'Condo/Townhome/Row Home/Co-Op','Mfd/Mobile Home','Multi-Family Home','Single Family Home'}
@attribute cost numeric

@data
84043,4,2,0.171743,0.001465,2,'Single Family Home',319900
84003,4,3,0.241085,0.003767,2,'Single Family Home',319900
84003,5,3,0.184739,0.00293,2,'Single Family Home',357900
84043,4,3,0.321655,0.002198,2,'Single Family Home',364900
84043,3,2,0.284333,0.002198,3,'Single Family Home',389900
84606,4,2,0.18006,0.001151,0,'Single Family Home',264900
84043,3,2,0.242021,0.003035,3,'Single Family Home',384950
84005,4,2,0.257095,0.00136,2,'Single Family Home',299900
84045,5,3,0.263541,0.001779,3,'Single Family Home',369900
84606,3,2,0.116956,0.002093,0,'Single Family Home',239000
84005,3,2,0.158748,0.001046,2,'Single Family Home',259850
84043,2,2,0.087847,0,2,'Condo/Townhome/Row Home/Co-Op',225000
84062,4,2,0.135253,0.002825,0,'Single Family Home',239900
84045,3,2,0.179229,0.001151,2,'Condo/Townhome/Row Home/Co-Op',255000
84606,4,3,0.16956,0.000105,0,'Condo/Townhome/Row Home/Co-Op',244900
84651,3,1,0.039921,0.000733,1,'Single Family Home',162900
84043,5,3,0.294521,0.001884,3,'Single Family Home',426000
84653,3,2,0.349517,0.003977,2,'Single Family Home',363900
84651,3,1,0.085976,0.001884,0,'Single Family Home',200000
84057,4,2,0.09159,0.001884,0,'Single Family Home',230000
84664,3,2,0.286724,?,2,'Single Family Home',379990
84043,3,2,0.208442,?,3,'Single Family Home',456990
84655,3,2,0.180372,0.000942,2,'Condo/Townhome/Row Home/Co-Op',209900
84045,4,2,0.407943,0.002093,3,'Single Family Home',499900
84062,4,2,0.1706,0.003453,1,'Single Family Home',289000
84045,5,2,0.28766,0.002616,3,'Single Family Home',360000
84604,5,4,0.289531,0.003453,0,'Single Family Home',425000
84601,4,3,0.198461,0.003872,0,'Single Family Home',269000
84045,5,2,0.236303,0.002512,3,'Single Family Home',389900
84601,4,3,0.187545,0.002302,0,'Multi-Family Home',397700
84043,6,3,0.259175,0.001674,3,'Single Family Home',428999
84651,5,2,0.188273,0.001884,2,'Single Family Home',235000
84663,5,3,0.281734,0.001779,2,'Single Family Home',397000
84003,3,1,0.079946,0.000105,0,'Condo/Townhome/Row Home/Co-Op',179900
84655,4,2,0.212392,0.001988,2,'Single Family Home',276697
84653,4,2,0.198565,0.002198,1,'Condo/Townhome/Row Home/Co-Op',224900
84601,1,1,0.05302,?,0,'Mfd/Mobile Home',37000
84651,3,2,0.074748,0.000209,0,'Condo/Townhome/Row Home/Co-Op',175000
84601,4,2,0.238694,0.002616,0,'Single Family Home',279900
84660,4,2,0.125689,0.000837,0,'Single Family Home',199900
84045,3,2,0.209897,0.000209,2,'Condo/Townhome/Row Home/Co-Op',254900
84005,3,2,0.070589,?,0,'Condo/Townhome/Row Home/Co-Op',156000
84653,3,2,0.439859,0.003453,3,'Single Family Home',539900
84005,3,2,0.14856,0.001779,2,'Single Family Home',225000
84058,4,1,0.087847,0.001465,0,'Single Family Home',220000
84651,3,2,0.218006,0.001884,3,'Single Family Home',289900
84606,4,2,0.134733,0.001779,2,'Single Family Home',269000
84058,3,2,0.107184,?,2,'Condo/Townhome/Row Home/Co-Op',262900
84045,3,2,0.416675,?,3,'Single Family Home',339990
84043,3,2,0.216239,?,2,'Single Family Home',440990
84664,3,2,0.396923,?,2,'Single Family Home',424990
84651,5,3,0.333611,0.005128,6,'Single Family Home',419900
84003,6,3,0.441834,0.002302,2,'Single Family Home',569900
84660,3,2,0.117996,0.000209,2,'Condo/Townhome/Row Home/Co-Op',224900
84045,6,3,0.325502,0.002198,3,'Single Family Home',429000
84043,3,2,0.156565,0.000314,0,'Condo/Townhome/Row Home/Co-Op',235000
84062,4,2,0.238382,0.002407,2,'Single Family Home',320000
84043,3,2,0.108535,0.001988,2,'Single Family Home',289000
84655,3,3,0.147624,0,2,'Condo/Townhome/Row Home/Co-Op',214900
84005,3,2,0.187649,0.00157,2,'Single Family Home',249900
84062,4,2,0.182555,0.011616,3,'Single Family Home',400000
84003,4,2,0.430814,0.004814,4,'Single Family Home',569995
84660,4,2,0.176214,0.001884,2,'Single Family Home',262000
84062,5,3,0.328309,0.00157,3,'Single Family Home',429999
84043,4,2,0.216135,0.002198,4,'Single Family Home',372900
84663,6,3,0.225491,0.001779,2,'Single Family Home',310000
84043,4,3,0.225491,0.002616,2,'Single Family Home',375900
84604,3,1,0.122778,0.001884,0,'Single Family Home',229000
84057,3,2,0.06851,0.000209,0,'Condo/Townhome/Row Home/Co-Op',169900
84003,3,2,0.216135,0.001151,2,'Single Family Home',314900
84003,3,2,0.396403,0.003977,3,'Single Family Home',566500
84062,4,4,0.424161,0.009627,3,'Single Family Home',575000
84045,5,2,0.253561,0.001884,3,'Single Family Home',349900
84045,3,2,0.286724,0.002302,3,'Single Family Home',380585
84005,5,3,0.190352,0.001465,2,'Single Family Home',279900
84058,5,3,0.270298,0.003139,0,'Single Family Home',285000
84042,6,3,0.273105,0.003558,2,'Single Family Home',440000
84020,5,4,0.364903,0.003139,4,'Single Family Home',512000
84660,4,2,0.288076,0.001674,0,'Single Family Home',259900
84043,5,3,0.221749,0.003453,3,'Single Family Home',375000
84004,6,4,0.468552,0.004709,3,'Single Family Home',750000
84003,3,2,0.260318,0.001151,2,'Condo/Townhome/Row Home/Co-Op',319900
84003,3,2,0.260318,0.001151,2,'Condo/Townhome/Row Home/Co-Op',319900
84003,3,2,0.260318,0.001151,2,'Condo/Townhome/Row Home/Co-Op',317900
84003,3,2,0.260318,0.002198,2,'Condo/Townhome/Row Home/Co-Op',319900
84601,3,2,0.285477,0.002093,2,'Single Family Home',332890
84604,5,4,0.396611,0.003349,2,'Single Family Home',360000
84664,4,2,0.184115,0.020929,2,'Single Family Home',499900
84663,3,1,0.066639,0.002512,2,'Single Family Home',209900
84653,4,2,0.147313,0.002302,2,'Single Family Home',249900
84660,3,2,0.170808,0.000209,2,'Condo/Townhome/Row Home/Co-Op',220000
84651,4,2,0.21312,0.001884,2,'Single Family Home',280000
84003,4,2,0.11654,0.002825,0,'Single Family Home',154000
84660,3,2,0.119867,0.000419,2,'Condo/Townhome/Row Home/Co-Op',199900
84043,3,2,0.10552,0.001884,2,'Single Family Home',285000
84003,3,2,0.305333,0.003767,3,'Single Family Home',389999
84633,3,1,0.114461,0.011825,0,'Single Family Home',214900
84003,3,2,0.448903,?,3,'Single Family Home',584990
84003,4,2,0.317912,0.001674,2,'Condo/Townhome/Row Home/Co-Op',335900
84601,2,2,0.054683,0.001779,0,'Single Family Home',204900
84045,4,2,0.388086,?,2,'Single Family Home',354990
84058,3,2,0.106976,?,2,'Single Family Home',339950
84058,3,2,0.105416,?,2,'Condo/Townhome/Row Home/Co-Op',251900
84003,4,2,0.234016,0.00157,0,'Single Family Home',239900
84664,3,2,0.373947,?,2,'Single Family Home',409990
84043,3,2,0.172471,?,2,'Single Family Home',439990
84097,3,2,0.093981,0.001884,0,'Multi-Family Home',299900
84604,6,3,0.721801,0.004814,3,'Single Family Home',550000
84043,3,2,0.495478,0.003244,3,'Single Family Home',502900
84604,7,4,0.531656,0.004709,2,'Single Family Home',749500
84651,4,3,0.304917,0.003139,2,'Single Family Home',285000
84058,4,3,0.144402,0.002407,2,'Single Family Home',270000
84058,6,3,0.253873,0.002198,2,'Single Family Home',399900
84655,3,2,0.272689,0.00136,2,'Single Family Home',279900
84663,2,1,0.164362,0.002302,2,'Single Family Home',234900
84651,5,3,0.22965,0.002302,2,'Single Family Home',315000
84601,2,2,0.082649,0.00157,0,'Multi-Family Home',238000
84003,3,2,0.260318,0.00136,2,'Single Family Home',329900
84003,3,2,0.260318,0.00136,2,'Condo/Townhome/Row Home/Co-Op',319900
84003,3,2,0.260318,0.00136,2,'Condo/Townhome/Row Home/Co-Op',319900
84005,4,4,0.27009,0.001046,2,'Single Family Home',349000
84045,3,2,0.173511,0.000105,1,'Condo/Townhome/Row Home/Co-Op',229000
84045,6,3,0.339017,0.003139,2,'Single Family Home',385500
84601,4,2,0.104481,0.002093,2,'Single Family Home',280000
84043,3,2,0.1076,0.000105,1,'Condo/Townhome/Row Home/Co-Op',245000
84601,3,2,0.125689,0.001988,0,'Single Family Home',232000
84003,3,2,0.123506,0.002302,2,'Single Family Home',295000
84043,3,2,0.433621,0.002616,3,'Single Family Home',474900
84057,4,2,0.111654,0.000105,2,'Condo/Townhome/Row Home/Co-Op',227800
84003,5,3,0.325917,0.00136,2,'Single Family Home',338900
84651,3,1,0.05957,0.000105,2,'Condo/Townhome/Row Home/Co-Op',164900
84057,4,2,0.160204,0.000209,0,'Condo/Townhome/Row Home/Co-Op',200000
84045,4,2,0.237863,0.001256,2,'Single Family Home',330000
84043,5,3,0.194719,0.001884,2,'Single Family Home',329900
84005,4,2,0.2126,0.002512,2,'Single Family Home',274900
84604,2,1,0.06955,0.000209,0,'Condo/Townhome/Row Home/Co-Op',145900
84045,4,2,0.159372,0.001884,2,'Single Family Home',274000
84660,5,3,0.26562,0.003767,0,'Multi-Family Home',389900
84043,6,3,0.230897,0.001988,2,'Single Family Home',355000
84003,3,2,0.257095,0.00136,2,'Condo/Townhome/Row Home/Co-Op',314900
84003,3,2,0.243788,0.001151,2,'Condo/Townhome/Row Home/Co-Op',299900
84058,6,4,0.437571,0.002825,2,'Single Family Home',439000
84003,3,2,0.238382,0.001884,2,'Condo/Townhome/Row Home/Co-Op',311900
84003,3,2,0.243996,0.001465,2,'Single Family Home',321900
84003,3,2,0.1916,0.00136,2,'Single Family Home',300900
84003,3,2,0.268219,0.001465,2,'Single Family Home',322900
84660,4,1,0.15958,0.001465,1,'Single Family Home',228000
84663,1,1,0.013827,0.00136,0,'Single Family Home',160000
84003,2,2,0.22809,0.00136,2,'Single Family Home',307900
84003,2,2,0.22809,0.00136,2,'Condo/Townhome/Row Home/Co-Op',297900
84003,3,2,0.243996,0.001465,2,'Condo/Townhome/Row Home/Co-Op',311900
84003,3,2,0.243996,0.001256,2,'Condo/Townhome/Row Home/Co-Op',311900
84003,2,2,0.22809,0.00136,2,'Single Family Home',307900
84003,3,2,0.243996,0.00136,2,'Single Family Home',320900
84003,3,2,0.173927,0.000733,2,'Condo/Townhome/Row Home/Co-Op',249900
